,"BayesianSSA (9, 1)","BayesianSSA (6, 2)","BayesianSSA (3, 1)","BayesianSSA (2, 1)",Base method,Naive Bayes,Random
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.22314355131420943,0.3746934494414102,0.3746934494414102,0.470003629245735,0.3746934494414102,0.6931471805599453,0.6931471805599453
2,0.4862500911999493,0.7874029164856657,0.787402916485665,0.9724790281950138,0.812113728791125,1.3862943611198906,1.3862943611198906
3,0.7743277353360378,1.208388790455875,1.2083887904558737,1.476300115776827,1.2354628059978494,2.0794415416798357,2.0794415416798357
4,1.9726507533497923,2.17266764468166,2.17266764468166,2.3365632759583193,2.1697902253581534,2.772588722239781,2.772588722239781
5,2.1056961575624245,2.482297556434172,2.446648539211032,2.6672993202215807,2.593139302564878,3.1780538303479458,3.4657359027997265
6,2.2351156144933086,2.79492699907982,2.759462129171194,3.0975326047037655,2.94974282048308,3.871201010907891,4.1588830833596715
7,2.33989866932742,3.0643899147785536,2.9984249580772433,3.4012899785417074,3.32443626992449,4.276666119016055,4.852030263919617
8,2.4706812785865506,3.381839412545924,3.316619050018951,3.8380384976859645,3.713265524381227,4.969813299576001,5.545177444479562
9,2.601464139353047,3.6864641333336348,3.621535874252669,4.2582790012710925,4.060909938005692,5.662960480135946,6.238324625039508
10,4.297125127227785,4.856527252594299,4.790724491785795,5.227841573388481,5.049636963144558,6.3561076606958915,6.931471805599453
11,4.909004269373574,5.415161645434194,5.3508860035474175,5.815764893899076,5.5721135296514115,7.049254841255837,7.6246189861593985
12,5.584567453216874,6.210234631214527,6.030554328989382,6.401050694105461,6.5608405547902775,7.4547199493640015,8.317766166719343
13,5.695723207608285,6.498139796011446,6.284520245201059,6.719209641451638,6.998260834139992,7.860185057472166,9.010913347279288
14,6.144294993530386,7.1461307923197275,6.8424464613373885,7.243831820898742,7.932588253500295,8.26565016558033,9.704060527839234
15,6.233041300865905,7.379682569988291,7.034659940364018,7.480833430993167,8.37000853285001,8.553332238032112,10.39720770839918
16,6.3296048985718105,7.63602588579024,7.262276586073128,7.773816531099644,8.717652946474475,8.958797346140276,11.090354888959125
17,6.418528892622738,7.865306588737423,7.450093098117751,8.003375648729778,9.092346395915886,9.246479418592058,11.78350206951907
18,8.900973862339798,9.467519905336875,9.233265807588504,9.602802170589394,10.317713092929491,10.632773779711949,12.476649250079015
19,9.100215180921866,9.844168665217556,9.560529801997808,9.970108777499998,10.840189659436344,11.038238887820112,13.16979643063896
20,9.27241619138944,10.279574991273709,9.922994442520007,10.339899185100716,11.774517078796649,11.325920960271894,13.862943611198906
21,10.113167831292053,11.195045393164794,10.867423637939012,11.246941436381407,12.862486207366281,12.01906814083184,14.556090791758852
22,10.209235360277432,11.449467421946842,11.093620566203226,11.539462316132509,13.219089725284483,12.424533248940003,15.249237972318797
23,10.318532434885025,11.721105687534761,11.334519054164838,11.84361628948649,13.607918979741221,12.829998357048167,15.942385152878742
24,10.408108036520543,11.95197844716315,11.524031802720863,12.075098667681402,13.996748234197959,13.117680429499949,16.635532333438686
25,10.619018810472769,12.492798558142987,12.013238147407366,12.60919597613594,15.084717362767591,13.523145537608112,17.32867951399863
26,10.714932562641524,12.758196329416783,12.234203601193718,12.874479909589985,15.607193929274445,13.810827610059894,18.021826694558573
27,10.82399105160613,13.112474658090278,12.544270691579133,13.24741086912438,16.695163057844077,14.098509682511676,18.714973875118517
28,12.31890661302211,13.914389860162153,13.503297327304246,14.298105881517728,17.160457791362077,15.484804043631566,19.40812105567846
29,14.75205314768949,15.447848271831283,15.207843289968338,15.827095053868373,18.22423396519473,16.871098404751457,20.101268236238404
30,14.839153547973439,15.671682218164149,15.39092723766208,16.052013204231912,18.580837483112933,17.158780477203237,20.794415416798348
